Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below primary - Persons,Educational level - Below primary - Males,Educational level - Below primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C3311,00,00,0000,INDIA,Total,13,19897051,10219364,9677687,15005416,8231753,6773663,146152,52650,93502,14859264,8179103,6680161,47731,24826,22905,1835436,1004761,830675,9268992,5188301,4080691,3705798,1960369,1745429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1307,846,461
C3311,00,00,0000,INDIA,Total,14,22588051,11812734,10775317,15235440,8657099,6578341,138762,49638,89124,15096678,8607461,6489217,58025,30507,27518,1190774,676315,514459,6100412,3588719,2511693,7746066,4310969,3435097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1401,951,450
C3311,00,00,0000,INDIA,Total,15,22521059,12225932,10295127,12914943,7627398,5287545,119310,45310,74000,12795633,7582088,5213545,61210,33379,27831,642720,387521,255199,3061017,1908764,1152253,6394536,3811945,2582591,2634906,1439604,1195302,0,0,0,0,0,0,0,0,0,0,0,0,1244,875,369
C3311,00,00,0000,INDIA,Total,16,21777810,11572289,10205521,10932168,6440374,4491794,99410,36498,62912,10832758,6403876,4428882,63424,34141,29283,386171,227348,158823,1531537,944940,586597,4094147,2548440,1545707,4756166,2648093,2108073,0,0,0,0,0,0,0,0,0,0,0,0,1313,914,399
C3311,00,00,0000,INDIA,Total,17,14898862,8033721,6865141,7045705,4197694,2848011,54041,19612,34429,6991664,4178082,2813582,41187,23370,17817,175395,103038,72357,566247,350516,215731,1672440,1091373,581067,4535212,2608927,1926285,0,0,0,0,0,0,0,0,0,0,0,0,1183,858,325
C3311,00,00,0000,INDIA,Total,18,27686902,15166111,12520791,8820409,5613151,3207258,96945,37440,59505,8723464,5575711,3147753,82997,47548,35449,258586,159324,99262,613246,400927,212319,1596269,1125327,470942,2854492,1927826,926666,3198000,1821755,1376245,11664,8036,3628,106116,83470,22646,0,0,0,2094,1498,596
C3311,00,00,0000,INDIA,Total,19,13331257,6941938,6389319,4163063,2568701,1594362,42775,15273,27502,4120288,2553428,1566860,40679,22843,17836,136530,80110,56420,204706,125965,78741,437998,301882,136116,931305,644558,286747,2266460,1299709,966751,9154,6298,2856,91982,70978,21004,0,0,0,1474,1085,389
C3311,00,00,0000,INDIA,Total,20-24,89764132,46321150,43442982,12332462,8211062,4121400,246019,82710,163309,12086443,8128352,3958091,229446,111644,117802,282494,169382,113112,515410,321226,194184,885240,632504,252736,1796232,1317996,478236,5078764,3367870,1710894,30407,23075,7332,295081,239336,55745,2967212,1940726,1026486,6157,4593,1564
C3311,00,00,0000,INDIA,Total,25-29,83422393,41557546,41864847,1746604,1176837,569767,155297,46812,108485,1591307,1130025,461282,173881,64495,109386,38545,14681,23864,13767,7634,6133,11555,7558,3997,95694,70435,25259,320121,243543,76578,5051,4119,932,39416,33867,5549,891834,682606,209228,1443,1087,356
C3311,00,00,0000,INDIA,Total,30-34,74274044,37361916,36912128,678401,358596,319805,154281,48529,105752,524120,310067,214053,166679,60643,106036,34885,13437,21448,9852,5304,4548,6731,4304,2427,35279,25035,10244,70532,50935,19597,1324,1086,238,9870,8120,1750,188464,140894,47570,504,309,195
C3311,00,00,0000,INDIA,Total,35-59,237962264,124219958,113742306,1050389,558859,491530,296546,101905,194641,753843,456954,296889,286265,127352,158913,61157,29011,32146,25888,15911,9977,15840,11160,4680,65803,49129,16674,77488,56510,20978,1831,1461,370,12328,9572,2756,206389,156343,50046,854,505,349
C3311,00,00,0000,INDIA,Total,60+,76622321,37768327,38853994,147458,90218,57240,44300,17640,26660,103158,72578,30580,25524,16173,9351,8543,5380,3163,5306,3743,1563,2367,1758,609,12440,9489,2951,17510,12138,5372,351,288,63,1555,1255,300,29435,22261,7174,127,93,34
C3311,00,00,0000,INDIA,Total,Age not stated,2738472,1500562,1237910,37742,23291,14451,2973,1218,1755,34769,22073,12696,3961,2156,1805,1359,738,621,616,413,203,370,257,113,4035,2712,1323,9686,6227,3459,162,133,29,799,618,181,13677,8738,4939,104,81,23
C3311,00,00,0000,INDIA,Rural,All ages,742490639,381602674,360887965,155644487,89732987,65911500,18688367,9609115,9079252,136956120,80123872,56832248,1425101,663816,761285,63811477,35276432,28535045,36885059,21545734,15339325,18041257,11226848,6814409,9870105,6444763,3425342,5050168,3496165,1554003,20342,15969,4373,238123,199681,38442,1595209,1241838,353371,19279,12626,6653
C3311,00,00,0000,INDIA,Rural,0-4,85108410,43857198,41251212,1516066,804292,711774,1516066,804292,711774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Rural,5,20769519,10922483,9847036,3276350,1790887,1485463,3276350,1790887,1485463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Rural,6,20592568,10627967,9964601,7720432,4172766,3547666,7720432,4172766,3547666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3311,00,00,0000,INDIA,Rural,7,17360501,8950259,8410242,11806168,6352931,5453237,2006722,1035235,971487,9799446,5317696,4481750,51346,28385,22961,9746321,5288336,4457985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779,975,804
C3311,00,00,0000,INDIA,Rural,8,23981724,12475322,11506402,16921007,9259187,7661820,1326050,663418,662632,15594957,8595769,6999188,69930,38232,31698,15523050,8556450,6966600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,1087,890
C3311,00,00,0000,INDIA,Rural,9,15751933,8118667,7633266,12665973,6800746,5865227,518103,241916,276187,12147870,6558830,5589040,39730,20894,18836,11317216,6104303,5212913,789925,433080,356845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,553,446
C3311,00,00,0000,INDIA,Rural,10,25813075,13661419,12151656,18895030,10624310,8270720,559698,258920,300778,18335332,10365390,7969942,76658,41624,35034,13775843,7742893,6032950,4480996,2579722,1901274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,1151,684
